YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_007123279	428312302	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_4172	4879316..4880128	"hypothetical protein"
YP_005654484	384439760	NC_017278	Thermus sp. CCB_US3_UF1| Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	TCCBUS3UF1_13690	complement(1361394..1362458)	"hypothetical protein"
YP_001515030	158333858	NC_009925	Acaryochloris marina MBIC11017| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Acaryochloris.	AM1_0668	654532..656202	"M50 family peptidase"
YP_006803619	407688446	NC_018679	Alteromonas macleodii str. 'Balearic Sea AD45'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	AMBAS45_13375	complement(3121310..3122500)	"ATP-dependent protease La"
YP_007144328	428307503	NC_019753	Crinalium epipsammum PCC 9333| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Crinalium.	Cri9333_4011	complement(4536071..4539358)	"hypothetical protein"
YP_001473001	157374401	NC_009831	Shewanella sediminis HAW-EB3| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Ssed_1262	1497399..1499039	"sulfotransferase"
YP_002222991	203287976	NC_011244	Borrelia recurrentis A1| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia.	BRE_541	complement(568609..569256)	"TPR domain protein"
YP_088665	52425528	NC_006300	Mannheimia succiniciproducens MBEL55E| Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Basfia.	MS1473	complement(1463971..1465167)	"tetratricopeptide repeat protein"
YP_006237882	386831228	NC_017763	Staphylococcus aureus subsp. aureus HO 5096 0412| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SAEMRSA15_15380	complement(1690929..1691597)	"hypothetical protein"
YP_006292346	387129456	NC_017856	Methylophaga frappieri| Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga.	Q7C_486	complement(507937..509847)	"hypothetical protein"
YP_007123295	428312318	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_4188	complement(4906530..4907993)	"WD40 repeat-containing protein"
YP_003807354	302342825	NC_014365	Desulfarculus baarsii DSM 2075| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfarculales; Desulfarculaceae; Desulfarculus.	Deba_1392	1559030..1560079	"response regulator receiver protein"
YP_064980	51245096	NC_006138	Desulfotalea psychrophila LSv54| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfotalea.	DP1244	complement(1388630..1389223)	"peroxisomal targeting signal type 1 receptor"
YP_002605890	224371726	NC_012108	Desulfobacterium autotrophicum HRM2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacterium.	HRM2_46700	5251922..5252932	"hypothetical protein"
YP_004985822	392378662	NC_016594	Azospirillum brasilense Sp245| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOBR_p1140108	complement(1517889..1520051)	"tetratricopeptide TPR_2 repeat protein fragment)"
YP_001869563	186686367	NC_010628	Nostoc punctiforme PCC 73102| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Npun_R6348	complement(7838256..7840385)	"serine/threonin protein kinase"
YP_002553547	222111283	NC_011992	Acidovorax ebreus TPSY| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	Dtpsy_2092	2248669..2249241	"tpr repeat-containing protein"
YP_007368104	443489957	NC_020133	Mycobacterium liflandii 128FXT| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	MULP_01661	1784226..1785254	"Tetratricopeptide repeat protein"
YP_285644	71908057	NC_007298	Dechloromonas aromatica RCB| Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas.	Daro_2439	2638062..2640833	"hypothetical protein"
YP_001618051	162455684	NC_010162	Sorangium cellulosum So ce56| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	sce7402	complement(10303617..10304489)	"hypothetical protein"
YP_006406311	390942550	NC_018010	Belliella baltica DSM 15883| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae; Belliella.	Belba_0910	953386..954801	"hypothetical protein"
NP_668673	22125250	NC_004088	Yersinia pestis KIM10+| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	y1351	1502195..1502944	"fimbrial biogenesis protein"
YP_497028	87199771	NC_007794	Novosphingobium aromaticivorans DSM 12444| Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium.	Saro_1754	1849331..1849885	"TPR repeat-containing protein"
YP_001557601	160878633	NC_010001	Lachnoclostridium phytofermentans ISDg| Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae.	Cphy_0475	604922..606331	"hypothetical protein"
YP_005921006	386002707	NC_017527	Methanosaeta harundinacea 6Ac| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mhar_2027	complement(2189867..2192716)	"Tetratricopeptide TPR_2"
YP_004038466	313199808	NC_014733	Methylovorus sp. MP688| Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylovorus.	MPQ_0031	complement(34845..36026)	"hemy domain-containing protein"
YP_001241483	148256898	NC_009485	Bradyrhizobium sp. BTAi1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	BBta_5619	complement(5852712..5854931)	"SPINDLY family O-linked N-acetylglucosamine transferase"
YP_006604114	402561390	NC_018500	Bacillus thuringiensis HD-771| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BTG_13145	complement(2579736..2580998)	"hypothetical protein"
YP_007493095	452851411	NC_020409	Desulfovibrio piezophilus C1TLV30| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	BN4_10707	741493..742644	"Tetratricopeptide TPR_4 protein"
YP_002536117	222053755	NC_011979	Geobacter daltonii FRC-32| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Geob_0651	complement(717991..727026)	"family 2 glycosyl transferase"
YP_679281	110639072	NC_008255	Cytophaga hutchinsonii ATCC 33406| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Cytophaga.	CHU_2687	complement(3070727..3071671)	"TPR repeat-containing protein"
YP_006839546	407719884	NC_018700	Sinorhizobium meliloti Rm41| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	BN406_00675	702942..704081	"cytochrome c-type biogenesis protein CycH"
YP_001654143	166154025			
YP_333443	76811796	NC_007434	Burkholderia pseudomallei 1710b| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BURPS1710b_2048	2214481..2215491	"hypothetical protein"
YP_006010664	386314499	NC_017566	Shewanella putrefaciens 200| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Sput200_2795	complement(3163144..3163932)	"outer membrane PilQ pilotin, PilF"
YP_007246623	432328479	NC_019942	Aciduliprofundum sp. MAR08-339| Archaea; Euryarchaeota; Aciduliprofundum.	AciM339_0570	491904..495791	"tetratricopeptide repeat protein"
YP_001776302	170730869	NC_010513	Xylella fastidiosa M12| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella.	Xfasm12_1779	complement(1846449..1847258)	"type IV pilus assembly protein PilF"
YP_001613451	162451084	NC_010162	Sorangium cellulosum So ce56| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	sce2812	complement(3840027..3841700)	"hypothetical protein"
YP_002137426	197116999	NC_011146	Geobacter bemidjiensis Bem| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Gbem_0602	complement(722304..724241)	"hypothetical protein"
YP_314142	74316402	NC_007404	Thiobacillus denitrificans ATCC 25259| Bacteria; Proteobacteria; Betaproteobacteria; Hydrogenophilales; Hydrogenophilaceae; Thiobacillus.	Tbd_0384	412204..413982	"TPR repeat-containing protein"
YP_001864361	186681165	NC_010628	Nostoc punctiforme PCC 73102| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Npun_R0666	complement(789024..790622)	"hypothetical protein"
YP_825799	116623643	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_4555	5756376..5758022	"hypothetical protein"
YP_002552305	222110041	NC_011992	Acidovorax ebreus TPSY| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	Dtpsy_0827	complement(857273..858997)	"tpr repeat-containing protein"
YP_007359844	442319823	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_02844	3610080..3610544	"type III secretion low calcium response chaperone LcrH/SycD"
YP_008906199	565985397	NC_023036	Mycobacterium neoaurum VKM Ac-1815D| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	D174_08500	1759680..1760498	"hypothetical protein"
YP_007436593	449069512	NC_020247	Sulfolobus acidocaldarius Ron12/I| Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	SacRon12I_06045	1054666..1055418	"TPR domain-containing protein"
YP_623259	107025748	NC_008061	Burkholderia cenocepacia AU 1054| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Bcen_3391	491617..493575	"tetratricopeptide TPR_2"
YP_001997990	193212037	NC_011027	Chlorobaculum parvum NCIB 8327| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum.	Cpar_0366	complement(394457..395062)	"TPR repeat-containing protein"
NP_807793	29144451	NC_004631	Salmonella enterica subsp. enterica serovar Typhi str. Ty2| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	t4189	4351835..4352455	"formate-dependent nitrite reductase complex subunit NrfG"
YP_001097201	134045715	NC_009135	Methanococcus maripaludis C5| Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus.	MmarC5_0675	complement(650403..651437)	"hypothetical protein"
YP_004210192	322432943			
YP_007200541	430741412	NC_019892	Singulisphaera acidiphila DSM 18658| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Singulisphaera.	Sinac_0407	complement(539906..542518)	"hypothetical protein"
YP_005919736	386001437	NC_017527	Methanosaeta harundinacea 6Ac| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mhar_0735	complement(786580..788085)	"TPR-repeat protein"
YP_002429311	218777993	NC_011768	Desulfatibacillum alkenivorans AK-01| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfatibacillum.	Dalk_0133	complement(186524..188374)	"hypothetical protein"
YP_008498594	538353988	NC_022238	Streptococcus constellatus subsp. pharyngis C1050| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group.	SCI_0644	643711..644922	"hypothetical protein"
YP_006508578	397667041	NC_018140	Legionella pneumophila subsp. pneumophila| Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella.	LPV_1540	1561226..1562395	"hypothetical protein"
YP_003564758	294501058	NC_014019	Bacillus megaterium QM B1551| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BMQ_4314	complement(4160440..4161696)	"TPR-repeat-containing protein"
YP_578285	92118556	NC_007964	Nitrobacter hamburgensis X14| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Nitrobacter.	Nham_3088	3412454..3414178	"transcriptional regulator CadC"
YP_008863672	563655570	NC_022991	Salmonella enterica subsp. enterica serovar Agona str. 24249| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	Q786_21015	4407124..4407744	"formate-dependent nitrite reductase complex subunit NrfG"
YP_008091309	512556517	NC_021490	Treponema pallidum subsp. pallidum str. Nichols| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TPANIC_0460	491349..492056	"hypothetical protein"
YP_002495137	220919834			
YP_007062814	427714190	NC_019680	Synechococcus sp. PCC 6312| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	Syn6312_3225	complement(3148364..3150238)	"hypothetical protein"
YP_007514617	459291460	NC_020453	Bradyrhizobium oligotrophicum S58| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	S58_50510	complement(5716032..5717126)	"hypothetical protein"
YP_004432724	332304873	NC_015497	Glaciecola sp. 4H-3-7+YE-5| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	Glaag_0493	554502..557252	"PEP-CTERM system TPR-repeat lipoprotein"
YP_003854686	304321043	NC_014414	Parvularcula bermudensis HTCC2503| Bacteria; Proteobacteria; Alphaproteobacteria; Parvularculales; Parvularculaceae; Parvularcula.	PB2503_07434	1457071..1458249	"hypothetical protein"
YP_004566586	336124538	NC_015633	Vibrio anguillarum 775| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VAA_02286	complement(2109048..2110220)	"Tetratricopeptide repeat family protein"
YP_002421735	218530919	NC_011757	Methylobacterium extorquens CM4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	Mchl_2969	3131764..3132372	"hypothetical protein"
YP_005602558	384213475	NC_017247	Brucella melitensis M5-90| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	BM590_B0937	complement(931948..932895)	"hypothetical protein"
YP_003516765	291276993	NC_013949	Helicobacter mustelae 12198| Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	HMU07750	896957..898093	"Sel1 repeat domain-containing protein"
YP_002534586	222100018	NC_011978	Thermotoga neapolitana DSM 4359| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	CTN_1044	complement(1015988..1016410)	"hypothetical protein"
YP_002944086	239815176	NC_012791	Variovorax paradoxus S110| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax.	Vapar_2185	2336133..2336990	"type IV pilus biogenesis/stability protein PilW"
YP_723827	113477766	NC_008312	Trichodesmium erythraeum IMS101| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Trichodesmium.	Tery_4362	complement(6723030..6725207)	"hypothetical protein"
YP_006834985	407714420	NC_018695	Burkholderia phenoliruptrix BR3459a| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	BUPH_03230	3196795..3198642	"hypothetical protein"
YP_007469492	451948897	NC_020304	Desulfocapsa sulfexigens DSM 10523| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfocapsa.	UWK_03312	complement(3687393..3689540)	"tetratricopeptide repeat protein"
YP_825216	116623060	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_3964	5019905..5022934	"serine/threonin protein kinase"
YP_008435510	530893795	NC_022097	Treponema pedis str. T A4| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TPE_1900	1932044..1933240	"TPR protein"
YP_008512406	538379712	NC_022246	Streptococcus intermedius B196| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group.	SIR_0461	444373..445584	"hypothetical protein"
YP_003308160	269119983	NC_013517	Sebaldella termitidis ATCC 33386| Bacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Sebaldella.	Sterm_1364	1447771..1448565	"hypothetical protein"
YP_379046	78188708	NC_007514	Chlorobium chlorochromatii CaD3| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cag_0732	1009651..1011771	"TPR repeat-containing protein"
YP_007093433	428209080	NC_019695	Chroococcidiopsis thermalis PCC 7203| Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	Chro_4160	complement(4699978..4701744)	"hypothetical protein"
YP_007166309	428774521	NC_019778	Cyanobacterium stanieri PCC 7202| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobacterium.	Cyast_2717	complement(2974680..2976740)	"hypothetical protein"
YP_001475115	157376515	NC_009831	Shewanella sediminis HAW-EB3| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Ssed_3383	complement(4121933..4122841)	"lipoprotein NlpI"
YP_007239530	431926496	NC_019936	Pseudomonas stutzeri RCH2| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	Psest_1342	complement(1452573..1454126)	"protein kinase family protein"
NP_343573	15898968	NC_002754	Sulfolobus solfataricus P2| Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus.	SSO2191	complement(2013433..2014236)	"hypothetical protein"
YP_004669421	338536087	NC_015711	Myxococcus fulvus HW-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	LILAB_32310	complement(7957313..7958743)	"adventurous gliding motility protein AglT"
YP_003757581	300024970	NC_014313	Hyphomicrobium denitrificans ATCC 51888| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium.	Hden_3469	3542605..3543519	"thioredoxin"
YP_007049944	427707567	NC_019676	Nostoc sp. PCC 7107| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Nos7107_2176	complement(2535130..2539731)	"hypothetical protein"
NP_276697	15679580	NC_000916	Methanothermobacter thermautotrophicus str. Delta H| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter.	MTH1585	complement(1451827..1452882)	"O-linked GlcNAc transferase"
YP_552725	91777517	NC_007952	Burkholderia xenovorans LB400| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	Bxe_B2618	complement(467845..469737)	"hypothetical protein"
YP_005634261	384424903	NC_017270	Vibrio cholerae LMA3984-4| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VCLMA_A1659	complement(1897619..1898788)	"Heat shocklarge permease protein YciMlarge permease"
NP_712753	24215272	NC_004342	Leptospira interrogans serovar Lai str. 56601| Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Leptospira.	LA_2572	2553626..2554735	"TPR-repeat-containing protein"
YP_001609061	163867857	NC_010161	Bartonella tribocorum CIP 105476| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella.	Btr_0628	complement(662910..664604)	"hypothetical protein"
YP_004004376	312137039	NC_014658	Methanothermus fervidus DSM 2088| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanothermaceae; Methanothermus.	Mfer_0815	788624..789301	"hypothetical protein"
YP_007745185	478688375	NC_020990	Streptomyces albus J1074| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	XNR_1800	2121480..2122880	"Secreted protein"
YP_007107379	428223209	NC_019702	Synechococcus sp. PCC 7502| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	Syn7502_03392	complement(3329391..3330311)	"cytochrome c biogenesis factor"
YP_004131449	319765948	NC_014915	Geobacillus sp. Y412MC52| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	GYMC52_0828	866844..867959	"AIG2 family protein"
YP_002524572	221638310	NC_011963	Rhodobacter sphaeroides KD131| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	RSKD131_0211	complement(211810..212376)	"hypothetical protein"
YP_004160705	319900977	NC_014933	Bacteroides helcogenes P 36-108| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	Bache_1109	1403000..1404433	"hypothetical protein"
YP_001618379	162456012	NC_010162	Sorangium cellulosum So ce56| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	sce7730	complement(10762371..10764707)	"hypothetical protein"
YP_007105494	428221324	NC_019702	Synechococcus sp. PCC 7502| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	Syn7502_01261	1289731..1291059	"hypothetical protein"
YP_631343	108758226	NC_008095	Myxococcus xanthus DK 1622| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MXAN_3140	3676693..3677499	"lipoprotein"
YP_005051472	374299833	NC_016629	Desulfovibrio africanus str. Walvis Bay| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	Desaf_1476	complement(1649451..1650269)	"hypothetical protein"
YP_003700512	297584732	NC_014219	NA LOCUS       NC_014219            3592487 bp    DNA     circular CON 10-JUN-2013 DEFINITION  Bacillus selenitireducens MLS10 chromosome, complete genome. ACCESSION   NC_014219 VERSION     NC_014219.1  GI:297582338 DBLINK      Project: 49513 BioProject: PRJNA49513 KEYWORDS    RefSeq. SOURCE      [Bacillus] selenitireducens MLS10 ORGANISM  [Bacillus] selenitireducens MLS10 Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bsel_2444	complement(2664911..2665582)	"tetratricopeptide repeat-containing protein"
YP_004145179	319785704	NC_014924	Pseudoxanthomonas suwonensis 11-1| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas.	Psesu_0085	101154..103220	"hypothetical protein"
YP_007173366	428781580	NC_019780	Dactylococcopsis salina PCC 8305| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Dactylococcopsis.	Dacsa_3523	complement(3639627..3640589)	"tetratricopeptide repeat protein,DnaJ-like protein"
YP_001548267	159904605	NC_009975	Methanococcus maripaludis C6| Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus.	MmarC6_0213	195997..197226	"hypothetical protein"
NP_641298	21241716	NC_003919	Xanthomonas axonopodis pv. citri str. 306| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	XAC0946	1108597..1110294	"hypothetical protein"
YP_001801898	172035397	NC_010546	Cyanothece sp. ATCC 51142| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	cce_0481	481950..482708	"hypothetical protein"
YP_005066703	479126743	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_A03260	complement(321795..323540)	"TPR domain protein"
YP_001208999	146329833	NC_009446	Dichelobacter nodosus VCS1703A| Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Dichelobacter.	DNO_0068	complement(65736..67439)	"hypothetical protein"
YP_008250950	525828150	NC_021812	Salmonella enterica subsp. enterica serovar Heidelberg str.| CFSAN002069 Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	CFSAN002069_10685	166619..167239	"formate-dependent nitrite reductase complex subunit NrfG"
YP_001130611	145219902	NC_009337	Chlorobium phaeovibrioides DSM 265| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cvib_1095	complement(1236585..1237172)	"hypothetical protein"
YP_006525370	397688051	NC_018177	Pseudomonas stutzeri DSM 10701| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSJM300_14750	3227343..3229070	"hypothetical protein"
YP_002815013	227815004	NC_012581	Bacillus anthracis str. CDC 684| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BAMEG_2415	complement(2206592..2208718)	"hypothetical protein"
YP_001960172	189500702	NC_010831	Chlorobium phaeobacteroides BS1| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cphamn1_1773	1920149..1921549	"hypothetical protein"
YP_003136242	257058354	NC_013161	Cyanothece sp. PCC 8802| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan8802_0448	complement(443854..444228)	"hypothetical protein"
YP_005820566	385789443	NC_017448	Fibrobacter succinogenes subsp. succinogenes S85| Bacteria; Fibrobacteres; Fibrobacterales; Fibrobacteraceae; Fibrobacter.	FSU_0431	complement(485918..486961)	"hypothetical protein"
YP_005700122	387868653	NC_017309	Edwardsiella tarda FL6-60| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Edwardsiella.	ETAF_2528	complement(2873926..2874504)	"Cytochrome c-type heme lyase subunit NrfG"
YP_005167118	376295888	NC_016803	Desulfovibrio desulfuricans ND132| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DND132_1101	complement(1201696..1202322)	"hypothetical protein"
YP_003137056	257059168	NC_013161	Cyanothece sp. PCC 8802| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan8802_1298	1313393..1314808	"extracellular ligand-binding receptor"
YP_002810316	227081765	NC_012578	Vibrio cholerae M66-2| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VCM66_1552	1674638..1675351	"putative fimbrial biogenesis and twitching motility protein"
YP_002721987	225620729	NC_012225	Brachyspira hyodysenteriae WA1| Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	BHWA1_01820	2096491..2098806	"TPR domain-containing protein"
